
     Program AVERAGE v.5.1 starts on 18Jun2018 at 21:13:10 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI), running on     1 processors
     Reading header from file  Au_CO_tmp.pp

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1s, nr2s, nr3s values from input

     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum         649     313     97               114417    40121    6739
     Tot         325     157     49

     Reading data from file  Au_CO_tmp.pp
    0.000000000   -1.608912879   -1.041328910
    0.015333486   -1.584188424   -1.034598477
    0.030666972   -1.558856312   -1.027637138
    0.046000458   -1.532943581   -1.020445268
    0.061333944   -1.506477561   -1.013023367
    0.076667430   -1.479485857   -1.005372073
    0.092000916   -1.451996341   -0.997492161
    0.107334402   -1.424037151   -0.989384547
    0.122667888   -1.395636689   -0.981050294
    0.138001374   -1.366823621   -0.972490610
    0.153334860   -1.337626874   -0.963706850
    0.168668346   -1.308075629   -0.954700521
    0.184001832   -1.278199306   -0.945473285
    0.199335318   -1.248027538   -0.936026953
    0.214668804   -1.217590137   -0.926363495
    0.230002290   -1.186917052   -0.916485036
    0.245335776   -1.156038312   -0.906393864
    0.260669262   -1.124983961   -0.896092424
    0.276002748   -1.093783993   -0.885583327
    0.291336234   -1.062468272   -0.874869347
    0.306669720   -1.031066452   -0.863953423
    0.322003206   -0.999607901   -0.852838664
    0.337336692   -0.968121622   -0.841528344
    0.352670178   -0.936636177   -0.830025907
    0.368003664   -0.905179620   -0.818334964
    0.383337150   -0.873779435   -0.806459296
    0.398670636   -0.842462483   -0.794402849
    0.414004122   -0.811254955   -0.782169734
    0.429337608   -0.780182335   -0.769764225
    0.444671094   -0.749269367   -0.757190757
    0.460004580   -0.718540032   -0.744453926
    0.475338066   -0.688017525   -0.731558478
    0.490671552   -0.657724237   -0.718509316
    0.506005038   -0.627681741   -0.705311490
    0.521338524   -0.597910768   -0.691970195
    0.536672010   -0.568431195   -0.678490770
    0.552005496   -0.539262023   -0.664878695
    0.567338982   -0.510421349   -0.651139582
    0.582672468   -0.481926345   -0.637279181
    0.598005954   -0.453793228   -0.623303368
    0.613339440   -0.426037229   -0.609218150
    0.628672926   -0.398672568   -0.595029654
    0.644006412   -0.371712422   -0.580744129
    0.659339898   -0.345168906   -0.566367939
    0.674673384   -0.319053047   -0.551907560
    0.690006870   -0.293374775   -0.537369576
    0.705340356   -0.268142917   -0.522760672
    0.720673842   -0.243365193   -0.508087629
    0.736007328   -0.219048232   -0.493357320
    0.751340814   -0.195197586   -0.478576700
    0.766674300   -0.171817757   -0.463752802
    0.782007786   -0.148912225   -0.448892727
    0.797341272   -0.126483492   -0.434003642
    0.812674758   -0.104533115   -0.419092762
    0.828008244   -0.083061755   -0.404167354
    0.843341730   -0.062069216   -0.389234722
    0.858675216   -0.041554490   -0.374302201
    0.874008702   -0.021515797   -0.359377148
    0.889342188   -0.001950623   -0.344466941
    0.904675674    0.017144246   -0.329578963
    0.920009160    0.035772693   -0.314720603
    0.935342646    0.053939237   -0.299899246
    0.950676132    0.071649010   -0.285122268
    0.966009618    0.088907728   -0.270397028
    0.981343104    0.105721658   -0.255730866
    0.996676590    0.122097593   -0.241131095
    1.012010076    0.138042809   -0.226604995
    1.027343562    0.153565030   -0.212159808
    1.042677048    0.168672372   -0.197802733
    1.058010534    0.183373294   -0.183540919
    1.073344020    0.197676528   -0.169381458
    1.088677506    0.211591018   -0.155331380
    1.104010992    0.225125837   -0.141397648
    1.119344478    0.238290112   -0.127587148
    1.134677964    0.251092943   -0.113906685
    1.150011450    0.263543321   -0.100362977
    1.165344936    0.275650057   -0.086962647
    1.180678422    0.287421705   -0.073712219
    1.196011908    0.298866503   -0.060618113
    1.211345394    0.309992324   -0.047686637
    1.226678880    0.320806633   -0.034923988
    1.242012366    0.331316465   -0.022336242
    1.257345852    0.341528416   -0.009929359
    1.272679338    0.351448640    0.002290827
    1.288012824    0.361082873    0.014318603
    1.303346310    0.370436452    0.026148382
    1.318679796    0.379514363    0.037774702
    1.334013282    0.388321273    0.049192225
    1.349346768    0.396861590    0.060395736
    1.364680254    0.405139501    0.071380144
    1.380013740    0.413159028    0.082140483
    1.395347226    0.420924065    0.092671903
    1.410680712    0.428438417    0.102969679
    1.426014198    0.435705829    0.113029205
    1.441347684    0.442730002    0.122845994
    1.456681170    0.449514603    0.132415680
    1.472014656    0.456063263    0.141734016
    1.487348142    0.462379573    0.150796876
    1.502681628    0.468467060    0.159600257
    1.518015114    0.474329172    0.168140279
    1.533348600    0.479969249    0.176413184
    1.548682086    0.485390503    0.184415344
    1.564015572    0.490595985    0.192143254
    1.579349058    0.495588574    0.199593542
    1.594682544    0.500370954    0.206762964
    1.610016030    0.504945609    0.213648410
    1.625349516    0.509314818    0.220246902
    1.640683002    0.513480658    0.226555596
    1.656016488    0.517445020    0.232571782
    1.671349974    0.521209618    0.238292888
    1.686683460    0.524776016    0.243716473
    1.702016946    0.528145649    0.248840238
    1.717350432    0.531319845    0.253662013
    1.732683918    0.534299851    0.258179770
    1.748017404    0.537086849    0.262391614
    1.763350890    0.539681975    0.266295786
    1.778684376    0.542086326    0.269890665
    1.794017862    0.544300967    0.273174765
    1.809351348    0.546326925    0.276146738
    1.824684834    0.548165180    0.278805372
    1.840018320    0.549816655    0.281149596
    1.855351806    0.551282191    0.283178474
    1.870685292    0.552562533    0.284891211
    1.886018778    0.553658304    0.286287153
    1.901352264    0.554569984    0.287365784
    1.916685750    0.555297893    0.288126732
    1.932019236    0.555842175    0.288569764
    1.947352722    0.556202789    0.288694790
    1.962686208    0.556379503    0.288501862
    1.978019694    0.556371901    0.287991173
    1.993353180    0.556179385    0.287163060
    2.008686666    0.555801194    0.286017997
    2.024020152    0.555236415    0.284556602
    2.039353638    0.554484009    0.282779633
    2.054687124    0.553542829    0.280687987
    2.070020610    0.552411641    0.278282700
    2.085354096    0.551089143    0.275564947
    2.100687582    0.549573980    0.272536041
    2.116021068    0.547864752    0.269197431
    2.131354554    0.545960021    0.265550705
    2.146688040    0.543858306    0.261597587
    2.162021526    0.541558077    0.257339939
    2.177355012    0.539057743    0.252779758
    2.192688498    0.536355632    0.247919178
    2.208021984    0.533449973    0.242760471
    2.223355470    0.530338873    0.237306043
    2.238688956    0.527020297    0.231558437
    2.254022442    0.523492046    0.225520333
    2.269355928    0.519751747    0.219194542
    2.284689414    0.515796838    0.212584014
    2.300022900    0.511624565    0.205691829
    2.315356386    0.507231981    0.198521202
    2.330689872    0.502615960    0.191075477
    2.346023358    0.497773204    0.183358129
    2.361356844    0.492700262    0.175372762
    2.376690330    0.487393553    0.167123108
    2.392023816    0.481849386    0.158613024
    2.407357302    0.476063980    0.149846492
    2.422690788    0.470033484    0.140827620
    2.438024274    0.463753987    0.131560640
    2.453357760    0.457221528    0.122049906
    2.468691246    0.450432091    0.112299897
    2.484024732    0.443381598    0.102315214
    2.499358218    0.436065889    0.092100586
    2.514691704    0.428480695    0.081660865
    2.530025190    0.420621605    0.071001027
    2.545358676    0.412484023    0.060126177
    2.560692162    0.404063129    0.049041548
    2.576025648    0.395353830    0.037752500
    2.591359134    0.386350718    0.026264522
    2.606692620    0.377048033    0.014583229
    2.622026106    0.367439626    0.002714367
    2.637359592    0.357518940   -0.009336193
    2.652693078    0.347278998   -0.021562455
    2.668026564    0.336712400   -0.033958301
    2.683360050    0.325811339   -0.046517493
    2.698693536    0.314567630   -0.059233678
    2.714027022    0.302972749   -0.072100391
    2.729360508    0.291017883   -0.085111060
    2.744693994    0.278693999   -0.098259013
    2.760027480    0.265991912   -0.111537481
    2.775360966    0.252902361   -0.124939608
    2.790694452    0.239416094   -0.138458452
    2.806027938    0.225523947   -0.152086997
    2.821361424    0.211216928   -0.165818156
    2.836694910    0.196486289   -0.179644776
    2.852028396    0.181323605   -0.193559649
    2.867361882    0.165720836   -0.207555517
    2.882695368    0.149670387   -0.221625075
    2.898028854    0.133165157   -0.235760981
    2.913362340    0.116198591   -0.249955859
    2.928695826    0.098764709   -0.264202309
    2.944029312    0.080858147   -0.278492909
