
     Program AVERAGE v.5.1 starts on 18Jun2018 at 16: 3:20 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI), running on     1 processors
     Reading header from file  Au_tmp.pp

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1s, nr2s, nr3s values from input

     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum         649     313     97               100611    35335    5899
     Tot         325     157     49

     Reading data from file  Au_tmp.pp
    0.000000000   -1.592581567   -0.995235990
    0.013489908   -1.571663279   -0.989996597
    0.026979815   -1.550239316   -0.984574880
    0.040469723   -1.528328093   -0.978971100
    0.053959631   -1.505948283   -0.973185578
    0.067449538   -1.483118795   -0.967218703
    0.080939446   -1.459858761   -0.961070933
    0.094429354   -1.436187515   -0.954742799
    0.107919261   -1.412124578   -0.948234909
    0.121409169   -1.387689646   -0.941547946
    0.134899077   -1.362902576   -0.934682678
    0.148388984   -1.337783368   -0.927639953
    0.161878892   -1.312352157   -0.920420706
    0.175368800   -1.286629194   -0.913025957
    0.188858707   -1.260634835   -0.905456818
    0.202348615   -1.234389522   -0.897714486
    0.215838523   -1.207913765   -0.889800253
    0.229328430   -1.181228129   -0.881715502
    0.242818338   -1.154353207   -0.873461710
    0.256308246   -1.127309603   -0.865040446
    0.269798153   -1.100117906   -0.856453375
    0.283288061   -1.072798666   -0.847702257
    0.296777969   -1.045372370   -0.838788949
    0.310267876   -1.017859409   -0.829715401
    0.323757784   -0.990280054   -0.820483663
    0.337247692   -0.962654425   -0.811095879
    0.350737599   -0.935002461   -0.801554290
    0.364227507   -0.907343888   -0.791861236
    0.377717415   -0.879698188   -0.782019149
    0.391207322   -0.852084573   -0.772030563
    0.404697230   -0.824521949   -0.761898104
    0.418187138   -0.797028887   -0.751624497
    0.431677045   -0.769623600   -0.741212560
    0.445166953   -0.742323906   -0.730665209
    0.458656861   -0.715147211   -0.719985451
    0.472146768   -0.688110474   -0.709176391
    0.485636676   -0.661230190   -0.698241223
    0.499126584   -0.634522364   -0.687183236
    0.512616491   -0.608002489   -0.676005808
    0.526106399   -0.581685530   -0.664712408
    0.539596307   -0.555585902   -0.653306594
    0.553086214   -0.529717456   -0.641792009
    0.566576122   -0.504093463   -0.630172384
    0.580066030   -0.478726602   -0.618451531
    0.593555937   -0.453628947   -0.606633348
    0.607045845   -0.428811958   -0.594721810
    0.620535753   -0.404286476   -0.582720970
    0.634025660   -0.380062710   -0.570634959
    0.647515568   -0.356150237   -0.558467979
    0.661005476   -0.332558000   -0.546224304
    0.674495383   -0.309294303   -0.533908276
    0.687985291   -0.286366811   -0.521524304
    0.701475199   -0.263782556   -0.509076858
    0.714965106   -0.241547934   -0.496570467
    0.728455014   -0.219668714   -0.484009720
    0.741944922   -0.198150041   -0.471399256
    0.755434829   -0.176996442   -0.458743766
    0.768924737   -0.156211837   -0.446047987
    0.782414645   -0.135799543   -0.433316701
    0.795904552   -0.115762286   -0.420554727
    0.809394460   -0.096102209   -0.407766923
    0.822884368   -0.076820885   -0.394958178
    0.836374275   -0.057919326   -0.382133410
    0.849864183   -0.039397996   -0.369297563
    0.863354091   -0.021256822   -0.356455604
    0.876843998   -0.003495208   -0.343612513
    0.890333906    0.013887951   -0.330773290
    0.903823814    0.030894256   -0.317942941
    0.917313721    0.047525786   -0.305126481
    0.930803629    0.063785085   -0.292328928
    0.944293537    0.079675138   -0.279555297
    0.957783444    0.095199357   -0.266810601
    0.971273352    0.110361556   -0.254099845
    0.984763260    0.125165931   -0.241428022
